Run_ID,Sim_ID,Start,End,Days,Prob_Long,Funds_Init_CC,Funds_Final_CC,DF_Excess,Volume_QC,Volume_CC,Funds_Init_QC,Funds_Final_QC,Profit_CC,Profit_QC,Liquid_Profit_QC,Liquid_Profit_CC,Annualized_Profit_QC,Annualized_Profit_CC,LP_CC_APY,ProfitQC_per_VolumeQC,ProfitCC_per_VolumeCC,BTCUSD_price_impact_median,BTCUSD_price_impact_25pct,BTCUSD_price_impact_75pct,BTCUSD_price_impact_mean,BTCUSD_price_impact_stdev,ETHUSD_price_impact_median,ETHUSD_price_impact_25pct,ETHUSD_price_impact_75pct,ETHUSD_price_impact_mean,ETHUSD_price_impact_stdev,MATICUSD_price_impact_median,MATICUSD_price_impact_25pct,MATICUSD_price_impact_75pct,MATICUSD_price_impact_mean,MATICUSD_price_impact_stdev
8734377358604,7478542831739307404,22-07-20 00:03,22-10-21 00:00,92.0,0.52,1134525.6434292009,1341297.0566709216,-281398.61302216956,385195669.73446417,469330507.4700866,1050000.0,1085981.2960633175,206771.41324172076,35981.29606331745,0.0,0.0,142751.88112077033,820343.106882914,0.09445084293788923,9.341043757870194e-05,0.0004405667433730581,8.996396210081414e-05,8.716406454264093e-05,0.00011038356787129138,0.00014136249425688135,0.00018996921663600008,0.00011970428653757992,9.713957976132421e-05,0.00012854652628462612,0.0001646382286273368,0.00020685428066204796,0.0002915702779812153,0.0001637703035735386,0.0007286970638978297,0.000641292333195608,0.0008685944184855085
8734377358604,5640835719156853989,22-07-20 00:03,22-10-21 00:00,92.0,0.52,1134525.6434292009,1479433.386601079,-706574.6679404613,425270651.81647485,512538924.5016404,1050000.0,1197823.3894049022,344907.74317187816,147823.38940490223,0.0,0.0,586473.2297042317,1368383.9810623426,0.24159208672418878,0.0003475983794637568,0.0006729396084546048,0.00011151945375937946,0.00010146402419915066,0.0001398702448886659,0.00018366572911439317,0.00023684462934931962,0.0001151464962948475,9.684376885228954e-05,0.00012838885619789303,0.0001479242498033741,0.0001451260623696318,0.00022530961217004229,0.00016183757177758965,0.0005556613558687091,0.0005886522087192549,0.000926965955831255
8734377358604,-4460560485868245787,22-07-20 00:03,22-10-21 00:00,92.0,0.52,1134525.6434292009,2006733.9761663943,1162713.6845386433,387769964.3079789,462774893.1047013,1050000.0,1624752.364476519,872208.3327371934,574752.3644765189,574752.3644765189,872208.3327371934,2280267.5329774935,3460391.7548812563,0.23596555239574948,0.0014821992866369423,0.0018847356365546374,0.00012218548257678097,9.902023719133393e-05,0.00014557563819500281,0.00015706463965617124,0.00015772049882402516,9.559754990394684e-05,8.90071562412508e-05,0.0001185796771954571,0.00011695945454206243,0.00010033259600196791,0.0007245140484186587,0.00030951633459125766,0.0016425388470646032,0.0013488987003743202,0.0016251238545451927
8734377358604,1321460073046865234,22-06-17 00:05,22-09-18 00:00,92.0,0.52,2744050.636881086,3579253.1096593128,297806.53403406637,786861561.7245235,949065005.2632117,1050000.0,2969043.785333734,835202.4727782267,1919043.785333734,247034.9572986152,297806.53403406637,7613597.626595792,3313575.0278701386,0.08846882080624854,0.002438858216848038,0.0008800266242527753,9.199481869678455e-05,8.84910605763821e-05,0.00011208234040317806,0.00013118777985020774,0.00013835721340303082,9.241370444896579e-05,7.46929303558798e-05,0.00011653006963167609,0.00011833510973026883,0.00017801122190958535,0.00019240763366849313,0.0001536355136080595,0.00040345569068997444,0.0004581946954518425,0.00072383962743657
8734377358604,-516247039535588181,22-06-17 00:05,22-09-18 00:00,92.0,0.52,2744050.636881086,3661251.134294448,-1301931.5576420724,834971453.5158931,1046768861.4476357,1050000.0,3037062.3685391457,917200.4974133619,1987062.3685391457,0.0,0.0,7883453.962139001,3638893.277781273,0.06955469578040338,0.0023797967705027935,0.0008762206550020161,9.541003169213329e-05,8.8174606242462e-05,0.00010547236921971959,0.00013840418277850073,0.00018244779981822787,7.551172893817038e-05,7.232519096736209e-05,0.00010353140675789518,0.00012416797634929105,0.00018146398753029995,0.0002317570278225679,0.00016509740614489843,0.0006874579623125982,0.0006391790358902156,0.0008872875086433723
8734377358604,7829100829148863659,22-06-17 00:05,22-09-18 00:00,92.0,0.52,2744050.636881086,4922554.42470627,838721.6590344743,916423097.3187801,1119786444.2255313,1050000.0,4083332.2413547793,2178503.787825184,3033332.2413547793,695732.1131218161,838721.6590344743,12034415.957548851,8642976.984306436,0.04977919681404342,0.0033099692164345646,0.0019454636185847782,7.932622253804738e-05,6.6675914952488e-05,0.00010805463973873565,0.00012370698983780966,0.00015077336811165492,7.911644615743159e-05,7.331145796389549e-05,0.00010599937906007415,0.00010389836272950454,9.796653202011029e-05,0.0001751521708506144,0.00016392478701299375,0.0003769338608263258,0.0004510773457399326,0.0007252730174299363
8734377358604,2552487608600397359,22-07-20 00:03,22-10-21 00:00,92.0,0.52,1134525.6434292009,1343640.21864457,-198123.0331971089,398333972.2807393,484949407.4430046,1050000.0,1087878.437389598,209114.57521536923,37878.437389597995,0.0,0.0,150278.58312177466,829639.3473218452,0.10485018110384202,9.509215890554746e-05,0.0004312090539876495,0.00011094340117021186,9.782373744408003e-05,0.00013790790249955826,0.00015112897665078492,0.0001560372782323694,0.00010286172929938053,9.654985853666269e-05,0.0001250291644961654,0.00015675629552579343,0.0002111007988609866,0.00022107576559925543,0.00015920925938430722,0.0006601165769917776,0.0005948924380144789,0.0009549351476282122
8734377358604,7760809784652800769,22-07-20 00:03,22-10-21 00:00,92.0,0.52,1134525.6434292009,1612610.3411617263,364120.03899154125,524623489.20402586,630158829.6632437,1050000.0,1305650.1239826258,478084.6977325254,255650.12398262578,255650.12398262578,364120.03899154125,1014264.0788441132,1896749.0725257802,0.25081935018038853,0.000487302092345323,0.0007586733300047759,0.0001110021969624818,0.00010421552385122225,0.0001384509191584808,0.00014821908369078705,0.00012534773141197948,0.00010735152006610243,0.000103258919068537,0.0001219696965204958,0.00012866462055456256,9.607786983861416e-05,0.0001776593775743705,0.00015481676503834615,0.0003077401774882705,0.00036896879506689487,0.0005260198619868791
8734377358604,-2340586420372299007,22-07-20 00:03,22-10-21 00:00,92.0,0.52,1134525.6434292009,1658547.139239748,525540.5479233026,555906214.4092858,669863277.4093584,1050000.0,1342842.857140176,524021.49581054715,292842.857140176,292842.857140176,524021.49581054715,1161822.204958307,2078998.3257701057,0.3125506612182997,0.0005267846437934773,0.0007822812706454929,0.00013818056161914974,0.0001253443780060309,0.00019831041280580177,0.00025297937970315647,0.0003804428998737418,8.576822530345348e-05,7.730502512744226e-05,0.00010795878116706024,0.00012044336107838879,0.00015199110095759862,0.00018414268778093427,0.00015243710220321462,0.0004507231592099626,0.0005285036831482509,0.0008692602107175731
8734377358604,4284253965628220806,22-06-17 00:05,22-09-18 00:00,92.0,0.52,2744050.636881086,3145703.214530908,398070.47187093296,658687206.1501452,799867934.2877526,1050000.0,2609407.6874312847,401652.577649822,1559407.6874312847,330205.3876669698,398070.47187093296,6186780.499048032,1593512.9439367936,0.09417464377874227,0.002367447967519539,0.0005021486178308623,8.856157541634193e-05,7.782353822929764e-05,0.00012482549334844783,0.0001700648961169441,0.0002686236557772763,0.00010463345073461356,9.55533416640615e-05,0.00012563979648211977,0.00016872545787863824,0.00027022643107848664,0.00015099634306405349,0.00012589221833009766,0.00023931533599968075,0.0006841794558747425,0.001788139548927704
