Run_ID,Sim_ID,Start,End,Days,Prob_Long,Funds_Init_CC,Funds_Final_CC,DF_Excess,Volume_QC,Volume_CC,Funds_Init_QC,Funds_Final_QC,Profit_CC,Profit_QC,Liquid_Profit_QC,Liquid_Profit_CC,Annualized_Profit_QC,Annualized_Profit_CC,LP_CC_APY,ProfitQC_per_VolumeQC,ProfitCC_per_VolumeCC
8767848996704,-7142349345184397854,22-06-17 00:05,22-10-17 23:59,122.0,0.52,2744050.636881086,3127195.326638141,-866141.4086480117,1127842526.621833,1404578765.0351548,1050000.0,2655926.9909137734,383144.68975705514,1605926.9909137734,0.0,0.0,4804617.636750224,1146293.539027255,0.09953387797800428,0.0014238929221120269,0.00027278263013428476
8767848996704,3526266677654165546,22-06-17 00:05,22-10-17 23:59,122.0,0.64,2744050.636881086,5538798.62987015,3695773.432735648,696490368.5917084,865821861.3910582,1050000.0,4704101.676348719,2794747.992989064,3654101.676348719,3138820.376422386,2794747.992989064,10932353.375961332,8361336.208532856,0.03461640130295353,0.005246449687074998,0.0032278556567039425
8767848996704,-4254701732511738145,22-06-17 00:05,22-10-17 23:59,122.0,0.64,2744050.636881086,3986993.3724051546,1381414.7066877028,963711289.0318686,1195423947.9527638,1050000.0,3386153.471183698,1242942.7355240686,2336153.471183698,1173235.510389866,1242942.7355240686,6989311.614606965,3718640.1513629924,0.062354008462657214,0.0024241217237691245,0.001039750573553996
8767848996704,-8415923767768850736,22-06-17 00:05,22-10-17 23:59,122.0,0.64,2744050.636881086,3325268.682193489,1243256.8700214024,1089600470.2884998,1340202446.0631597,1050000.0,2824150.6917869304,581218.0453124028,1774150.6917869304,1055898.0597091771,581218.0453124028,5307909.856575652,1738890.053598582,0.10382860192107975,0.0016282580084764264,0.0004336792900354188
8767848996704,8078667127882913467,22-07-19 00:00,22-10-19 23:59,92.0,0.38,1093878.2344338575,1128469.2966604992,-1127281.366369511,376829819.5873402,457054649.11714727,1050000.0,954076.9267248908,34591.06222664169,-95923.07327510917,-95923.07327510917,0.0,-380564.36679798743,137236.2794861328,-0.005477820639361984,-0.0002545527670292995,7.568255195184698e-05
8767848996704,-6748330570917847049,22-07-19 00:00,22-10-19 23:59,92.0,0.38,1093878.2344338575,1310424.2225535058,343289.3704512577,432857546.0964134,522641412.12300086,1050000.0,1107912.7439794585,216545.9881196483,57912.743979458464,57912.743979458464,216545.9881196483,229762.5168750254,859122.6702573003,0.09313992597708264,0.00013379169313721323,0.00041432994610975327
8767848996704,-6511195223190591512,22-07-19 00:00,22-10-19 23:59,92.0,0.38,1093878.2344338575,1417614.505398573,-182084.0799361542,515168946.57375807,622206326.5177051,1050000.0,1198537.9616386686,323736.2709647154,148537.96163866855,0.0,0.0,589308.2173708045,1284388.4663274034,0.20609558148834273,0.00028832863981137106,0.0005203037275055791
8767848996704,7039830258007337398,22-07-19 00:00,22-10-19 23:59,92.0,0.52,1093878.2344338575,1185447.5734088907,-526873.33030506,332974870.6088212,401812663.72797954,1050000.0,1002249.8449700387,91569.33897503326,-47750.15502996126,-47750.15502996126,0.0,-189443.5498471289,363291.39919442544,0.056202242031782805,-0.00014340468078763254,0.00022789062476394266
8767848996704,-7787167440793423118,22-07-19 00:00,22-10-19 23:59,92.0,0.52,1093878.2344338575,1365964.8838549145,204656.9262113684,485167962.3575294,583704042.1448369,1050000.0,1154870.2142442947,272086.64942105697,104870.21424429468,104870.21424429468,204656.9262113684,416061.17607790825,1079474.206942237,0.0448868019369126,0.0002161523892359031,0.00046613802505335913
8767848996704,-7550032093066167581,22-07-19 00:00,22-10-19 23:59,92.0,0.52,1093878.2344338575,1404878.5331573572,-209589.50591182068,543739701.5154228,652618917.5848496,1050000.0,1187770.1921559616,311000.29872349976,137770.19215596165,0.0,0.0,546588.2623578913,1233859.8808051893,0.14888273609201605,0.00025337526719492983,0.00047654196092632476
8767848996704,1416391812810234977,22-07-19 00:00,22-10-19 23:59,92.0,0.64,1093878.2344338575,1286406.5250324982,485506.3423268234,323844227.0647427,390636225.4079012,1050000.0,1087606.7142933493,192528.29059864068,37606.7142933493,37606.7142933493,192528.29059864068,149200.5512725271,763835.0659619984,0.10462145396927132,0.00011612593694878802,0.0004928582606428864
8767848996704,5036138187719026077,22-07-19 00:00,22-10-19 23:59,92.0,0.64,1093878.2344338575,1372628.53938253,357307.24995408405,428541517.44189155,514384827.2508862,1050000.0,1160504.0759766032,278750.3049486724,110504.0759766032,110504.0759766032,278750.3049486724,438412.91012456705,1105911.5359376676,0.17826629225428375,0.00025786084073309675,0.0005419100451279731
8767848996704,5273273535446281614,22-07-19 00:00,22-10-19 23:59,92.0,0.64,1093878.2344338575,1352827.653925555,-390787.4068287319,466274733.35553765,563486728.9760405,1050000.0,1143763.1969831488,258949.41949169757,93763.19698314881,0.0,0.0,371995.2923787969,1027353.6751572784,0.20267083798636112,0.0002010900232752988,0.0004595483907176599
8767848996704,8378650583898529031,22-05-15 00:02,22-10-16 00:00,153.0,0.38,1530303.1058244822,1562635.1379088007,-4323190.052852895,924015105.7198784,1205129581.4613829,1050000.0,1233464.7647474988,32332.032084318576,183464.7647474988,0.0,0.0,437677.3799531834,77131.97196585804,-0.08947025441398139,0.0001985516942437491,2.6828676834163847e-05
8767848996704,-6448347114902231485,22-05-15 00:02,22-10-16 00:00,153.0,0.38,1530305.1515402691,1813553.6045860867,-1010152.6252288471,984105008.2015905,1265730526.2878885,1050001.4036445252,1431527.0506660717,283248.45304581756,381525.6470215465,0.0,0.0,910175.5631559769,675723.4337367543,-0.011327928560258311,0.00038768794370711327,0.0002237825881283937
8767848996704,7837174923550207540,22-05-15 00:02,22-10-16 00:00,153.0,0.38,1530305.697620045,1876306.9538039905,-2554410.426592193,1294539084.2672606,1668144223.3608084,1050001.778330927,1481061.3554134779,346001.2561839456,431059.57708255085,0.0,0.0,1028344.7427132749,825427.8333800009,-0.08754957019231933,0.0003329830534444935,0.00020741687159810273
8767848996704,2989949691410303423,22-05-15 00:02,22-10-16 00:00,153.0,0.52,1530303.1058244822,1968023.3322328837,-35395.51125939912,887914017.4530883,1125105378.0810766,1050000.0,1553457.6035188942,437720.2264084015,503457.6035188942,0.0,0.0,1201058.9887869044,1044234.5270527225,0.11649799241644716,0.0005670116628668875,0.0003890482037824361
